genes,region
NEUROD6,PHG
PYDC2-AS1,PHG
FREM3,PHG
LNCBRM,PHG
LINC00507,PHG
LINC01007,PHG
HSPB3,PHG
FOXJ1,STG
HERC2P3,STG
HK3,STG
PLP2,STG
S100A4,STG
GIMAP7,STG
CD74,STG
LINC01094,STG
GPSM3,STG
FXYD5,STG
TYROBP,STG
LINC01736,STG
C3AR1,STG
CD37,STG
GAL3ST4,STG
BIN2,STG
SPN,STG
SCIN,STG
PRELP,STG
CD163,STG
TMT1B,STG
S100A11,STG
LINC03082,STG
MYL9,STG
EMP3,STG
CFI,STG
FCER1G,STG
FCGR2A,STG
TREM2,STG
SIGLEC8,STG
HSPB1,STG
ID3,STG
S100A9,STG
TEAD2,STG
SELPLG,STG
ABI3,STG
CSF3R,STG
SMTN,STG
C4A,STG
C3,STG
ITGB2,STG
ITGAL,STG
SASH3,STG
MMP2,STG
NUPR1,STG
CRYAB,STG
MFNG,STG
LAIR1,STG
MYO1F,STG
SERPINE1,STG
OLR1,STG
C1QC,STG
MYH11,STG
ADORA3,STG
SERPINA1,STG
HLA-DRA,STG
HLA-DPA1,STG
HLA-DMB,STG
C1QB,STG
LGALS9,STG
MS4A6A,STG
VAMP8,STG
WAS,STG
CD14,STG
C4B,STG
OAS2,STG
PTAFR,STG
HLA-DOA,STG
NGFR,STG
TMEM119,STG
RHBDF2,STG
PLA1A,STG
ANGPT2,STG
TCIRG1,STG
MS4A7,STG
CD84,STG
MT1F,STG
C10orf105,STG
IFITM1,STG
SYK,STG
TLR5,STG
C1QA,STG
DOK3,STG
CSF1R,STG
PARVG,STG
F13A1,STG
CX3CR1,STG
C5AR1,STG
VSIG4,STG
STAB1,STG
S100A10,STG
LILRB1,STG
IER3,STG
NFAM1,STG
GIMAP2,STG
CTSS,STG
ALOX5AP,STG
SLC7A7,STG
LAPTM5,STG
PIK3AP1,STG
CASP1,STG
PTPRC,STG
HLA-DRB1,STG
CD300A,STG
AZGP1,STG
CD44,STG
SERPINH1,STG
CYBB,STG
TGFBI,STG
UCP2,STG
HMOX1,STG
OAS1,STG
SPP1,STG
PLEK,STG
FCGBP,STG
FOS,STG
MT1G,STG
HSPA1A,STG
HSPA1B,STG
RAB5IF,STG
FRMPD2B,STG
CBLN1,STG
LINC01007,STG
LINC00507,STG
CRH,STG
PPEF1,STG
NEUROD6,STG
S100A8,TCX
S100A4,TCX
LINC03082,TCX
GEM,TCX
LINC01094,TCX
TEAD2,TCX
DSP,TCX
SLC7A2,TCX
ECM2,TCX
GFAP,TCX
APLNR,TCX
TGFBI,TCX
TNFRSF11B,TCX
AEBP1,TCX
CFI,TCX
CYP1B1,TCX
MFAP4,TCX
CD44,TCX
CCL2,TCX
NPNT,TCX
PDLIM1,TCX
KCNE4,TCX
A4GALT,TCX
ANXA2,TCX
DCN,TCX
FOXC1,TCX
ANGPT2,TCX
IGF2,TCX
THSD4,TCX
COL1A2,TCX
C4B,TCX
COL6A2,TCX
OLFML2A,TCX
SLC26A2,TCX
SLC13A4,TCX
SLC47A1,TCX
IGFBP5,TCX
PHLDB2,TCX
GAS1,TCX
FREM3,TCX
VGF,TCX
LINC01007,TCX
GAD1,TCX
SERTM1,TCX
NEUROD6,TCX
PPEF1,TCX
DLX6-AS1,TCX
SLC32A1,TCX
GAD2,TCX
TAC1,TCX
PCSK1,TCX
SST,TCX
CRH,TCX
